,Day,Batch Semester,Room,Group,7:30 8:20,8:20 9:10,9:10 10:00,10:00 10:50,10:50 11:40,11:40 12:30,12:30 1:20,1:20 2:05,2:05 2:50
57,Wednesday,022 Comp II,SC-2,D,DSA Lab 2 NPD+ GBK,Algebra (UB) LB 204,"Applied Physics 
SC-2 (LNP)","Applied Chemistry 
SC-2",BREAK,Applied Chemistry SC-2,"Instrumentation 
SuB SC-2",Algebra and Geometry (UB) SC-2,"Applied Chemistry 
LB 204"
58,Wednesday,"021 CMP
III ",LB 101,A,EDC (LB 101) AY,EDC (LB 101) AY,Math (LB 101) UB,Math (LB 101) UB,BREAK,EEM (LB 101) LNP,EEM (LB 101) LNP,Network Theory (LB 101) BP,Network Theory (LB 101) BP
59,Wednesday,"021 CMP
III ",LB 101,B,EDC (LB 101) AY,EDC (LB 101) AY,Math (LB 101) UB,Math (LB 101) UB,BREAK,EEM (LB 101) LNP,EEM (LB 101) LNP,Network Theory (LB 101) BP,Network Theory (LB 101) BP
60,Wednesday,"021 CMP
III ",LB 102,C,Network Theory (LB 102) BP,Network Theory (LB 102) BP,DSA (Lab 4) JT + DD,DSA (Lab 4) JT + DD,BREAK,Logic Ckt (Lab) RKP,Logic Ckt (Lab) RKP,EDC lab AY,EDC lab AY
61,Wednesday,"021 CMP
III ",LB 102,D,Network Theory (LB 102) BP,Network Theory (LB 102) BP,EDC lab AY,EDC lab AY,BREAK,Network Theory Lab BP,Network Theory Lab BP,DSA (Lab 4) JT + GBK,DSA (Lab 4) JT + GBK
62,Wednesday,"020 CMP 
 IV",LB 103,A,PT [BM],PT (L) [KBS],DBMS (L) [AKJ],Math (L) DRP,BREAK,Math (L) BPB,Microprocessor (L) [DKC],DBMS (Lab-3) [AKJ][DBD],DBMS (Lab-3) [AKJ][DBD]
63,Wednesday,"020 CMP 
 IV",LB 103,B,PT [BM],PT (L) [KBS],DBMS (L) [AKJ],Math (L) DRP,BREAK,Math (L) BPB,Microprocessor (L) [DKC],PT (Lab-1)  [KBS][TCS],PT (Lab-1)  [KBS][TCS]
64,Wednesday,"020 CMP 
 IV",LB 201,C,PT (L) [KBS],PT [BM],Instrumentation (L) [GA],Math (L) DRP,BREAK,Microprocessor (L) [DKC],DBMS (L) [DKD],PT (Lab-1)  [KBS][TCS],BREAK
65,Wednesday,"020 CMP 
 IV",LB 201,D,PT (L) [KBS],PT [BM],Instrumentation (L) [GA],Math (L) DRP,BREAK,Microprocessor (L) [DKC],DBMS (L) [DKD],PT (Lab-1)  [KBS][TCS],BREAK
66,Wednesday,"019 CMP 
 VI",LB 202,A,OOSE (L2) [MM],OOSE (L2) [MM],Simulation & Modeling  [SK],Simulation & Modeling  [SK],BREAK,ELECTIVE  [NPD-LB PR] [MRU-Lab 3] [BM-LB 202 ],ELECTIVE  [NPD-LB PR] [MRU-Lab 3] [BM-LB 202 ],Data Communication [DD],Data Communication [DD]
67,Wednesday,"019 CMP 
 VI",LB 202,B,OOSE (L2) [MM],OOSE (L2) [MM],Simulation & Modeling  [SK],Simulation & Modeling  [SK],BREAK,ELECTIVE  [NPD-LB PR] [MRU-Lab 3] [BM-LB 202 ],ELECTIVE  [NPD-LB PR] [MRU-Lab 3] [BM-LB 202 ],Data Communication [DD],Data Communication [DD]
